epoch,class_id,f1,auc,accuracy,precision,recall
1,0,0.4150943396226415,0.5046620046620046,0.38,0.7857142857142857,0.28205128205128205
1,1,0.3404255319148936,0.5046620046620046,0.38,0.2222222222222222,0.7272727272727273
2,0,0.7222222222222221,0.5151515151515151,0.6,0.7878787878787878,0.6666666666666666
2,1,0.2857142857142857,0.5151515151515152,0.6,0.23529411764705882,0.36363636363636365
3,0,0.8500000000000001,0.6177156177156178,0.76,0.8292682926829268,0.8717948717948718
3,1,0.39999999999999997,0.6177156177156178,0.76,0.4444444444444444,0.36363636363636365
4,0,0.8333333333333333,0.4941724941724942,0.72,0.7777777777777778,0.8974358974358975
4,1,0.12500000000000003,0.49417249417249415,0.72,0.2,0.09090909090909091
5,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
5,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
6,0,0.8372093023255814,0.46153846153846156,0.72,0.7659574468085106,0.9230769230769231
6,1,0.0,0.46153846153846156,0.72,0.0,0.0
7,0,0.8372093023255814,0.46153846153846156,0.72,0.7659574468085106,0.9230769230769231
7,1,0.0,0.46153846153846156,0.72,0.0,0.0
8,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
8,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
9,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
9,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
10,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
10,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
11,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
11,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
12,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
12,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
13,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
13,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
14,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
14,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
15,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
15,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
16,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
16,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
17,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
17,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
18,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
18,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
19,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
19,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
20,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
20,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
21,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
21,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
22,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
22,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
23,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
23,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
24,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
24,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
25,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
25,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
26,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
26,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
27,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
27,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
28,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
28,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
29,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
29,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
30,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
30,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
31,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
31,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
32,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
32,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
33,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
33,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
34,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
34,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
35,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
35,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
36,0,0.8470588235294118,0.5069930069930071,0.74,0.782608695652174,0.9230769230769231
36,1,0.13333333333333333,0.506993006993007,0.74,0.25,0.09090909090909091
37,0,0.8604651162790696,0.5198135198135198,0.76,0.7872340425531915,0.9487179487179487
37,1,0.14285714285714288,0.5198135198135198,0.76,0.3333333333333333,0.09090909090909091
