epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
83,31,4,6,9,6,9,31,4,0.74,0.6225,0.48,0.600936657
84,31,4,6,9,6,9,31,4,0.74,0.6225,0.48,0.600702913
85,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.601317116
86,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.600506466
87,31,4,6,9,6,9,31,4,0.74,0.6275,0.48,0.601023077
88,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.60192543
89,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.603625028
90,30,4,6,10,6,10,30,4,0.72,0.6175,0.461538462,0.605204443
91,30,4,6,10,6,10,30,4,0.72,0.6175,0.461538462,0.604873153
92,30,4,6,10,6,10,30,4,0.72,0.6125,0.461538462,0.605550476
93,30,4,6,10,6,10,30,4,0.72,0.6125,0.461538462,0.605181318
94,30,4,6,10,6,10,30,4,0.72,0.6125,0.461538462,0.605314899
95,30,4,6,10,6,10,30,4,0.72,0.6125,0.461538462,0.604477732
96,31,4,6,9,6,9,31,4,0.74,0.6075,0.48,0.602546498
97,31,4,6,9,6,9,31,4,0.74,0.6075,0.48,0.600319842
98,32,4,6,8,6,8,32,4,0.76,0.6075,0.5,0.598569081
99,32,4,6,8,6,8,32,4,0.76,0.605,0.5,0.596289689
100,32,4,6,8,6,8,32,4,0.76,0.6075,0.5,0.595235948
101,32,4,6,8,6,8,32,4,0.76,0.605,0.5,0.595279296
102,32,4,6,8,6,8,32,4,0.76,0.61,0.5,0.593945066
103,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.592274892
104,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.591975695
105,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.5904928
106,31,4,6,9,6,9,31,4,0.74,0.6275,0.48,0.588696277
107,31,4,6,9,6,9,31,4,0.74,0.625,0.48,0.588575772
108,31,4,6,9,6,9,31,4,0.74,0.6225,0.48,0.58768446
109,32,4,6,8,6,8,32,4,0.76,0.6225,0.5,0.585269718
110,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.582624963
111,32,4,6,8,6,8,32,4,0.76,0.62,0.5,0.581856291
112,32,4,6,8,6,8,32,4,0.76,0.62,0.5,0.580776194
113,32,4,6,8,6,8,32,4,0.76,0.62,0.5,0.579447632
114,32,4,6,8,6,8,32,4,0.76,0.62,0.5,0.580768459
115,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.582171667
116,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.58179238
117,32,4,6,8,6,8,32,4,0.76,0.62,0.5,0.581925519
118,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.581309225
119,32,4,6,8,6,8,32,4,0.76,0.6175,0.5,0.58109166
120,32,5,5,8,5,8,32,5,0.74,0.615,0.434782609,0.579105951
121,32,5,5,8,5,8,32,5,0.74,0.6225,0.434782609,0.579314654
122,32,5,5,8,5,8,32,5,0.74,0.62,0.434782609,0.577739332
123,32,5,5,8,5,8,32,5,0.74,0.62,0.434782609,0.577678471
124,32,5,5,8,5,8,32,5,0.74,0.62,0.434782609,0.578996454
125,32,5,5,8,5,8,32,5,0.74,0.62,0.434782609,0.577785324
126,32,5,5,8,5,8,32,5,0.74,0.6225,0.434782609,0.578273604
127,32,5,5,8,5,8,32,5,0.74,0.6225,0.434782609,0.577412113
