epoch,class_0_tp,class_0_fp,class_0_tn,class_0_fn,class_1_tp,class_1_fp,class_1_tn,class_1_fn,accuracy,roc_auc,f1_score,loss
2,35.0,7.0,3.0,5.0,3.0,5.0,35.0,7.0,0.76,0.5575,0.33333333333333326,0.6624435466527939
3,36.0,8.0,2.0,4.0,2.0,4.0,36.0,8.0,0.76,0.6000000000000001,0.25,0.6429735171794891
4,37.0,8.0,2.0,3.0,2.0,3.0,37.0,8.0,0.78,0.6150000000000001,0.26666666666666666,0.6299597245454788
5,37.0,7.0,3.0,3.0,3.0,3.0,37.0,7.0,0.8,0.6475,0.37499999999999994,0.6251386839151383
6,36.0,7.0,3.0,4.0,3.0,4.0,36.0,7.0,0.78,0.665,0.3529411764705882,0.6248227936029435
7,34.0,7.0,3.0,6.0,3.0,6.0,34.0,7.0,0.74,0.7025,0.3157894736842105,0.6217857319116592
8,33.0,7.0,3.0,7.0,3.0,7.0,33.0,7.0,0.72,0.7125,0.3,0.6197984337806701
9,31.0,7.0,3.0,9.0,3.0,9.0,31.0,7.0,0.68,0.71,0.2727272727272727,0.6175337851047515
10,31.0,7.0,3.0,9.0,3.0,9.0,31.0,7.0,0.68,0.7175,0.2727272727272727,0.6176863473653793
11,31.0,6.0,4.0,9.0,4.0,9.0,31.0,6.0,0.7,0.7100000000000001,0.34782608695652173,0.6155626457929612
12,31.0,4.0,6.0,9.0,6.0,9.0,31.0,4.0,0.74,0.7125,0.48,0.6148511075973511
13,31.0,4.0,6.0,9.0,6.0,9.0,31.0,4.0,0.74,0.7175,0.48,0.6094143265485763
14,31.0,4.0,6.0,9.0,6.0,9.0,31.0,4.0,0.74,0.715,0.48,0.6082207685709
15,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.715,0.4615384615384615,0.6053664523363114
16,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7175,0.4615384615384615,0.6053742325305939
17,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7150000000000001,0.4615384615384615,0.6032101595401764
18,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7175,0.4615384615384615,0.5996130830049515
19,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7200000000000001,0.4615384615384615,0.5964940756559372
20,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7175,0.4615384615384615,0.5937119764089585
21,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7225000000000001,0.4615384615384615,0.5915559095144272
22,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7250000000000001,0.4615384615384615,0.5880742102861405
23,30.0,4.0,6.0,10.0,6.0,10.0,30.0,4.0,0.72,0.7250000000000001,0.4615384615384615,0.5857302224636078
