epoch,class_id,f1,auc,accuracy,precision,recall
1,0,0.7054263565891473,0.5971204721204721,0.6180904522613065,0.6066666666666667,0.8425925925925926
1,1,0.4571428571428572,0.5971204721204721,0.6180904522613065,0.6530612244897959,0.3516483516483517
2,0,0.7542087542087543,0.5609960242728604,0.6331658291457286,0.6256983240223464,0.9491525423728814
2,1,0.2772277227722772,0.5609960242728604,0.6331658291457286,0.7,0.1728395061728395
3,0,0.7054263565891473,0.5991466883380739,0.6180904522613065,0.6026490066225165,0.8504672897196262
3,1,0.4571428571428571,0.5991466883380738,0.6180904522613065,0.6666666666666666,0.34782608695652173
4,0,0.6559139784946236,0.6771780877299374,0.678391959798995,0.6853932584269663,0.6288659793814433
4,1,0.6981132075471698,0.6771780877299374,0.678391959798995,0.6727272727272727,0.7254901960784313
5,0,0.6296296296296295,0.6865168539325842,0.6984924623115578,0.6986301369863014,0.5730337078651685
5,1,0.7457627118644068,0.6865168539325843,0.6984924623115578,0.6984126984126984,0.8
6,0,0.6783625730994152,0.7167517875383045,0.7236180904522613,0.7073170731707317,0.651685393258427
6,1,0.7577092511013217,0.7167517875383045,0.7236180904522613,0.7350427350427351,0.7818181818181819
7,0,0.6875,0.698118932038835,0.6984924623115578,0.6875,0.6875
7,1,0.7087378640776699,0.698118932038835,0.6984924623115578,0.7087378640776699,0.7087378640776699
8,0,0.7254901960784315,0.7191351788240048,0.7185929648241206,0.6981132075471698,0.7551020408163265
8,1,0.7113402061855671,0.7191351788240049,0.7185929648241206,0.7419354838709677,0.6831683168316832
9,0,0.7052631578947368,0.7178903721682848,0.7185929648241206,0.7127659574468085,0.6979166666666666
9,1,0.7307692307692307,0.7178903721682849,0.7185929648241206,0.7238095238095238,0.7378640776699029
10,0,0.7699530516431926,0.752224919093851,0.7537688442211056,0.7454545454545455,0.7961165048543689
10,1,0.7351351351351351,0.7522249190938511,0.7537688442211056,0.7640449438202247,0.7083333333333334
11,0,0.6994535519125683,0.7213779128672746,0.7236180904522613,0.7191011235955056,0.6808510638297872
11,1,0.7441860465116279,0.7213779128672746,0.7236180904522613,0.7272727272727273,0.7619047619047619
12,0,0.7864077669902912,0.7785411194180643,0.7788944723618091,0.7714285714285715,0.801980198019802
12,1,0.7708333333333333,0.7785411194180643,0.7788944723618091,0.7872340425531915,0.7551020408163265
13,0,0.7032967032967034,0.7261398176291795,0.7286432160804021,0.7272727272727273,0.6808510638297872
13,1,0.75,0.7261398176291793,0.7286432160804021,0.7297297297297297,0.7714285714285715
14,0,0.7942583732057416,0.783248987854251,0.7839195979899497,0.7904761904761904,0.7980769230769231
14,1,0.7724867724867724,0.7832489878542511,0.7839195979899497,0.776595744680851,0.7684210526315789
15,0,0.7999999999999999,0.8126646403242148,0.8140703517587939,0.8131868131868132,0.7872340425531915
15,1,0.8262910798122066,0.8126646403242149,0.8140703517587939,0.8148148148148148,0.8380952380952381
16,0,0.7657142857142858,0.7894281644281644,0.7939698492462312,0.7976190476190477,0.7362637362637363
16,1,0.8161434977578477,0.7894281644281644,0.7939698492462312,0.7913043478260869,0.8425925925925926
17,0,0.7924528301886793,0.7775586569579287,0.7788944723618091,0.7706422018348624,0.8155339805825242
17,1,0.7634408602150538,0.7775586569579288,0.7788944723618091,0.7888888888888889,0.7395833333333334
18,0,0.8219178082191781,0.8012820512820513,0.8040201005025126,0.8108108108108109,0.8333333333333334
18,1,0.782122905027933,0.8012820512820513,0.8040201005025126,0.7954545454545454,0.7692307692307693
19,0,0.8,0.7754305977710233,0.7788944723618091,0.7652173913043478,0.8380952380952381
19,1,0.7528089887640449,0.7754305977710233,0.7788944723618091,0.7976190476190477,0.7127659574468085
20,0,0.8294930875576036,0.8116250760803408,0.8140703517587939,0.8108108108108109,0.8490566037735849
20,1,0.7955801104972376,0.8116250760803408,0.8140703517587939,0.8181818181818182,0.7741935483870968
21,0,0.839622641509434,0.8278721682847896,0.8291457286432161,0.8165137614678899,0.8640776699029126
21,1,0.8172043010752689,0.8278721682847896,0.8291457286432161,0.8444444444444444,0.7916666666666666
22,0,0.8018433179723501,0.7815420560747663,0.7839195979899497,0.7909090909090909,0.8130841121495327
22,1,0.7624309392265194,0.7815420560747663,0.7839195979899497,0.7752808988764045,0.75
23,0,0.8355555555555556,0.8088175538399024,0.8140703517587939,0.7966101694915254,0.8785046728971962
23,1,0.7861271676300579,0.8088175538399024,0.8140703517587939,0.8395061728395061,0.7391304347826086
24,0,0.8241206030150754,0.8243079409981815,0.8241206030150754,0.8118811881188119,0.8367346938775511
24,1,0.8241206030150754,0.8243079409981815,0.8241206030150754,0.8367346938775511,0.8118811881188119
25,0,0.8349514563106797,0.8289898989898989,0.8291457286432161,0.8113207547169812,0.86
25,1,0.8229166666666666,0.8289898989898989,0.8291457286432161,0.8494623655913979,0.797979797979798
26,0,0.7845303867403316,0.802146927146927,0.8040201005025126,0.7888888888888889,0.7802197802197802
26,1,0.8202764976958524,0.802146927146927,0.8040201005025126,0.8165137614678899,0.8240740740740741
27,0,0.8404255319148937,0.848392965433596,0.8492462311557789,0.8681318681318682,0.8144329896907216
27,1,0.8571428571428571,0.8483929654335961,0.8492462311557789,0.8333333333333334,0.8823529411764706
28,0,0.8152173913043478,0.8274291497975709,0.8291457286432161,0.8426966292134831,0.7894736842105263
28,1,0.8411214953271028,0.8274291497975709,0.8291457286432161,0.8181818181818182,0.8653846153846154
29,0,0.8571428571428571,0.8487841945288754,0.8492462311557789,0.8571428571428571,0.8571428571428571
29,1,0.8404255319148938,0.8487841945288754,0.8492462311557789,0.8404255319148937,0.8404255319148937
