epoch,class_id,f1,auc,accuracy,precision,recall
1,0,0.8536585365853658,0.5875,0.76,0.8333333333333334,0.875
1,1,0.33333333333333326,0.5875,0.76,0.375,0.3
2,0,0.8571428571428572,0.55,0.76,0.8181818181818182,0.9
2,1,0.25,0.55,0.76,0.3333333333333333,0.2
3,0,0.8705882352941177,0.5625,0.78,0.8222222222222222,0.925
3,1,0.26666666666666666,0.5625,0.78,0.4,0.2
4,0,0.8809523809523809,0.6125,0.8,0.8409090909090909,0.925
4,1,0.37499999999999994,0.6125,0.8,0.5,0.3
5,0,0.8674698795180723,0.6000000000000001,0.78,0.8372093023255814,0.9
5,1,0.3529411764705882,0.6000000000000001,0.78,0.42857142857142855,0.3
6,0,0.8395061728395061,0.5750000000000001,0.74,0.8292682926829268,0.85
6,1,0.3157894736842105,0.575,0.74,0.3333333333333333,0.3
7,0,0.825,0.5625,0.72,0.825,0.825
7,1,0.3,0.5625,0.72,0.3,0.3
8,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
8,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
9,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
9,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
10,0,0.8051948051948051,0.5874999999999999,0.7,0.8378378378378378,0.775
10,1,0.34782608695652173,0.5875,0.7,0.3076923076923077,0.4
11,0,0.8266666666666667,0.6875,0.74,0.8857142857142857,0.775
11,1,0.48,0.6875000000000001,0.74,0.4,0.6
12,0,0.8266666666666667,0.6875,0.74,0.8857142857142857,0.775
12,1,0.48,0.6875000000000001,0.74,0.4,0.6
13,0,0.8266666666666667,0.6875,0.74,0.8857142857142857,0.775
13,1,0.48,0.6875000000000001,0.74,0.4,0.6
14,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
14,1,0.4615384615384615,0.675,0.72,0.375,0.6
15,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
15,1,0.4615384615384615,0.675,0.72,0.375,0.6
16,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
16,1,0.4615384615384615,0.675,0.72,0.375,0.6
17,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
17,1,0.4615384615384615,0.675,0.72,0.375,0.6
18,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
18,1,0.4615384615384615,0.675,0.72,0.375,0.6
19,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
19,1,0.4615384615384615,0.675,0.72,0.375,0.6
20,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
20,1,0.4615384615384615,0.675,0.72,0.375,0.6
21,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
21,1,0.4615384615384615,0.675,0.72,0.375,0.6
22,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
22,1,0.4615384615384615,0.675,0.72,0.375,0.6
23,0,0.8108108108108107,0.675,0.72,0.8823529411764706,0.75
23,1,0.4615384615384615,0.675,0.72,0.375,0.6
24,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
24,1,0.4,0.625,0.7,0.3333333333333333,0.5
25,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
25,1,0.4,0.625,0.7,0.3333333333333333,0.5
26,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
26,1,0.4,0.625,0.7,0.3333333333333333,0.5
27,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
27,1,0.4,0.625,0.7,0.3333333333333333,0.5
28,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
28,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
29,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
29,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
30,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
30,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
31,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
31,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
32,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
32,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
33,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
33,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
34,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
34,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
35,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
35,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
36,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
36,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
37,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
37,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
38,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
38,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
39,0,0.7999999999999999,0.625,0.7,0.8571428571428571,0.75
39,1,0.4,0.625,0.7,0.3333333333333333,0.5
40,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
40,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
41,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
41,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
42,0,0.7837837837837837,0.6125,0.68,0.8529411764705882,0.725
42,1,0.38461538461538464,0.6124999999999999,0.68,0.3125,0.5
43,0,0.7733333333333333,0.5625,0.66,0.8285714285714286,0.725
43,1,0.32,0.5625,0.66,0.26666666666666666,0.4
44,0,0.7733333333333333,0.5625,0.66,0.8285714285714286,0.725
44,1,0.32,0.5625,0.66,0.26666666666666666,0.4
45,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
45,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
46,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
46,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
47,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
47,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
48,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
48,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
49,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
49,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
50,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
50,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
51,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
51,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
52,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
52,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
53,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
53,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
54,0,0.7894736842105262,0.575,0.68,0.8333333333333334,0.75
54,1,0.3333333333333333,0.575,0.68,0.2857142857142857,0.4
55,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
55,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
56,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
56,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
57,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
57,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
58,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
58,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
59,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
59,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
60,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
60,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
61,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
61,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
62,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
62,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
63,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
63,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
64,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
64,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
65,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
65,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
66,0,0.7792207792207791,0.525,0.66,0.8108108108108109,0.75
66,1,0.2608695652173913,0.525,0.66,0.23076923076923078,0.3
67,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
67,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
68,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
68,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
69,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
69,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
70,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
70,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
71,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
71,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
72,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
72,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
73,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
73,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
74,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
74,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
75,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
75,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
76,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
76,1,0.2727272727272727,0.5375000000000001,0.68,0.25,0.3
77,0,0.7948717948717949,0.5375000000000001,0.68,0.8157894736842105,0.775
